iter	Logloss
0	0.6053044364
1	0.5408520404
2	0.4932528267
3	0.4538325872
4	0.4253254893
5	0.4038672356
6	0.3880722824
7	0.3757557672
8	0.3663654461
9	0.3588934286
10	0.3530626537
11	0.3484367705
12	0.343877781
13	0.3405456912
14	0.3378849728
15	0.3353637926
16	0.3338603843
17	0.3322397036
18	0.3310813951
19	0.3302386179
20	0.3289221004
21	0.3282888058
22	0.3274348136
23	0.3269073573
24	0.3262708167
25	0.3257106992
26	0.3252344085
27	0.324775617
28	0.3243674766
29	0.3240582721
30	0.323719808
31	0.323437889
32	0.3232070606
33	0.3229515403
34	0.3227023273
35	0.3224939327
36	0.322305015
37	0.3221148532
38	0.3219438107
39	0.321731898
40	0.3215389781
41	0.3213979802
42	0.3212509177
43	0.3211342366
44	0.321005623
45	0.3208982868
46	0.3207673099
47	0.3206566424
48	0.3205547227
49	0.3204349282
50	0.3203477495
51	0.320297621
52	0.3201823743
53	0.3200937881
54	0.3199895494
55	0.3199326503
56	0.3198469504
57	0.3197352193
58	0.3197170271
59	0.3196450957
60	0.319566378
61	0.3194412813
62	0.3193233603
63	0.3192639533
64	0.3191918521
65	0.3191231668
66	0.3191089964
67	0.3190490132
68	0.3189938486
69	0.3189259437
70	0.3188596174
71	0.3187925204
72	0.318736636
73	0.3186991207
74	0.31864813
75	0.3186142929
76	0.3185523182
77	0.3184741743
78	0.3184161821
79	0.3183498234
80	0.3182899176
81	0.3182175885
82	0.3181834233
83	0.3181093018
84	0.3181060814
85	0.3180390119
86	0.3179660293
87	0.3179112422
88	0.3178560598
89	0.3178121427
90	0.3177762727
91	0.3177605978
92	0.3177254629
93	0.3176569415
94	0.3176124027
95	0.3175679679
96	0.3175552787
97	0.3175409573
98	0.3174853112
99	0.3174479011
100	0.3174353892
101	0.3173898367
102	0.3173363573
103	0.3172820039
104	0.3172266563
105	0.3171907397
106	0.3171536886
107	0.3171074192
108	0.3170623812
109	0.317019911
110	0.3169817147
111	0.3169553284
112	0.3169031568
113	0.3168642884
114	0.316806507
115	0.3167822938
116	0.3167284852
117	0.3166787285
118	0.3166540012
119	0.316618999
120	0.3165779799
121	0.3165324081
122	0.3164789734
123	0.3164214769
124	0.316383882
125	0.3163146569
126	0.3162852226
127	0.3162343172
128	0.3161773719
129	0.3161172217
130	0.3160752811
131	0.3160237873
132	0.3159703545
133	0.3159306286
134	0.3158813574
135	0.3158225805
136	0.3157839303
137	0.3157368546
138	0.3156827014
139	0.3156326339
140	0.3155928121
141	0.3155406744
142	0.3154957907
143	0.3154476472
144	0.3153869887
145	0.3153469114
146	0.3152999311
147	0.3152481164
148	0.3151990419
149	0.3151398567
150	0.3150840784
151	0.3150346654
152	0.3149778362
153	0.3149419734
154	0.3149087052
155	0.3148724174
156	0.3148021502
157	0.3147625467
158	0.3147124409
159	0.3146418482
160	0.314592321
161	0.3145355344
162	0.3145001316
163	0.3144625828
164	0.3144075335
165	0.3143884546
166	0.314342474
167	0.3143017213
168	0.314269243
169	0.3142234388
170	0.3141927827
171	0.3141447227
172	0.3140893893
173	0.3140664546
174	0.3140312596
175	0.3139724572
176	0.3139256462
177	0.3138910072
178	0.3138614516
179	0.3138083881
180	0.3137702175
181	0.3137208672
182	0.3136758881
183	0.3136363678
184	0.3135984781
185	0.3135603748
186	0.3135041228
187	0.3134686199
188	0.3134309074
189	0.3134026013
190	0.3133774186
