iter	Passed	Remaining
0	64	64608
1	128	64231
2	195	64829
3	259	64539
4	317	63184
5	372	61682
6	431	61247
7	497	61733
8	558	61532
9	619	61297
10	682	61360
11	752	61955
12	817	62054
13	881	62078
14	943	61944
15	1008	62034
16	1072	61988
17	1135	61951
18	1206	62277
19	1274	62436
20	1340	62469
21	1404	62450
22	1474	62623
23	1542	62713
24	1647	64262
25	1723	64568
26	1796	64735
27	1862	64668
28	1931	64670
29	2000	64669
30	2064	64527
31	2127	64341
32	2189	64160
33	2256	64124
34	2323	64073
35	2387	63943
36	2452	63836
37	2519	63771
38	2582	63643
39	2645	63495
40	2705	63272
41	2785	63545
42	2851	63469
43	2918	63417
44	2987	63403
45	3055	63360
46	3117	63202
47	3180	63089
48	3247	63027
49	3318	63051
50	3381	62920
51	3447	62847
52	3524	62981
53	3593	62952
54	3659	62869
55	3726	62814
56	3817	63150
57	3890	63192
58	3929	62667
59	4003	62714
60	4068	62631
61	4126	62424
62	4194	62388
63	4264	62371
64	4334	62351
65	4398	62246
66	4442	61860
67	4505	61754
68	4570	61669
69	4631	61528
70	4701	61510
71	4783	61655
72	4857	61679
73	4929	61688
74	4991	61556
75	5054	61457
76	5123	61416
77	5186	61306
78	5250	61208
79	5314	61117
80	5379	61028
81	5440	60907
82	5503	60805
83	5572	60770
84	5611	60406
85	5687	60446
86	5760	60448
87	5825	60375
88	5893	60328
89	5975	60415
90	6041	60345
91	6102	60225
92	6165	60127
93	6227	60024
94	6288	59909
95	6355	59848
96	6394	59528
97	6435	59234
98	6498	59145
99	6563	59069
100	6617	58904
101	6681	58819
102	6744	58738
103	6808	58655
104	6872	58577
105	6931	58456
106	6996	58393
107	7054	58263
108	7117	58178
109	7184	58131
110	7247	58042
111	7307	57941
112	7373	57881
113	7436	57792
114	7503	57745
115	7562	57631
116	7629	57582
117	7690	57486
118	7750	57377
119	7814	57308
120	7874	57205
121	7935	57111
122	8001	57051
123	8080	57081
124	8163	57146
125	8231	57100
126	8299	57047
127	8367	57002
128	8439	56983
129	8512	56965
130	8580	56922
131	8654	56908
132	8722	56861
133	8803	56893
134	8870	56834
135	8936	56772
136	9004	56722
137	9072	56669
138	9137	56602
139	9205	56546
140	9271	56481
141	9337	56418
142	9409	56392
143	9511	56542
144	9592	56562
145	9656	56481
146	9714	56372
147	9778	56290
148	9843	56218
149	9908	56147
150	9976	56095
151	10045	56041
152	10117	56010
153	10181	55933
154	10263	55951
155	10332	55903
156	10398	55836
157	10465	55770
158	10529	55696
159	10597	55636
160	10669	55598
161	10742	55568
162	10813	55528
163	10880	55461
164	10950	55415
165	11020	55365
166	11086	55297
167	11153	55237
168	11220	55172
169	11287	55108
170	11349	55023
171	11412	54937
172	11477	54868
173	11550	54831
174	11621	54786
175	11700	54779
176	11767	54716
177	11834	54653
178	11896	54566
179	11963	54502
180	12030	54437
181	12096	54368
182	12166	54315
183	12234	54259
184	12304	54207
185	12372	54147
186	12475	54236
187	12541	54170
188	12608	54103
189	12670	54017
190	12734	53936
191	12798	53861
192	12865	53797
193	12936	53747
194	12999	53665
195	13062	53584
196	13141	53564
197	13211	53514
198	13277	53442
199	13346	53386
200	13413	53320
201	13487	53280
202	13552	53207
203	13620	53148
204	13689	53087
205	13755	53017
206	13820	52944
207	13885	52870
208	13950	52800
209	14020	52741
210	14086	52674
211	14163	52644
212	14230	52578
213	14291	52490
214	14358	52425
215	14425	52357
216	14492	52293
217	14563	52242
218	14654	52261
219	14728	52220
220	14798	52163
221	14862	52084
