(132027, 10) (33007, 10) (132027,) (33007,)
0:	learn: 0.6053044	total: 281ms	remaining: 4m 40s
1:	learn: 0.5408520	total: 349ms	remaining: 2m 54s
2:	learn: 0.4932528	total: 443ms	remaining: 2m 27s
3:	learn: 0.4538326	total: 511ms	remaining: 2m 7s
4:	learn: 0.4253255	total: 574ms	remaining: 1m 54s
5:	learn: 0.4038672	total: 627ms	remaining: 1m 43s
6:	learn: 0.3880723	total: 686ms	remaining: 1m 37s
7:	learn: 0.3757558	total: 748ms	remaining: 1m 32s
8:	learn: 0.3663654	total: 812ms	remaining: 1m 29s
9:	learn: 0.3588934	total: 873ms	remaining: 1m 26s
10:	learn: 0.3530627	total: 944ms	remaining: 1m 24s
11:	learn: 0.3484368	total: 1.02s	remaining: 1m 24s
12:	learn: 0.3438778	total: 1.08s	remaining: 1m 22s
13:	learn: 0.3405457	total: 1.14s	remaining: 1m 20s
14:	learn: 0.3378850	total: 1.21s	remaining: 1m 19s
15:	learn: 0.3353638	total: 1.27s	remaining: 1m 18s
16:	learn: 0.3338604	total: 1.33s	remaining: 1m 17s
17:	learn: 0.3322397	total: 1.39s	remaining: 1m 16s
18:	learn: 0.3310814	total: 1.46s	remaining: 1m 15s
19:	learn: 0.3302386	total: 1.53s	remaining: 1m 15s
20:	learn: 0.3289221	total: 1.6s	remaining: 1m 14s
21:	learn: 0.3282888	total: 1.66s	remaining: 1m 13s
22:	learn: 0.3274348	total: 1.72s	remaining: 1m 13s
23:	learn: 0.3269074	total: 1.78s	remaining: 1m 12s
24:	learn: 0.3262708	total: 1.84s	remaining: 1m 11s
25:	learn: 0.3257107	total: 1.91s	remaining: 1m 11s
26:	learn: 0.3252344	total: 1.98s	remaining: 1m 11s
27:	learn: 0.3247756	total: 2.04s	remaining: 1m 10s
28:	learn: 0.3243675	total: 2.1s	remaining: 1m 10s
29:	learn: 0.3240583	total: 2.17s	remaining: 1m 10s
30:	learn: 0.3237198	total: 2.23s	remaining: 1m 9s
31:	learn: 0.3234379	total: 2.28s	remaining: 1m 9s
32:	learn: 0.3232071	total: 2.34s	remaining: 1m 8s
33:	learn: 0.3229515	total: 2.4s	remaining: 1m 8s
34:	learn: 0.3227023	total: 2.46s	remaining: 1m 7s
35:	learn: 0.3224939	total: 2.53s	remaining: 1m 7s
36:	learn: 0.3223050	total: 2.61s	remaining: 1m 7s
37:	learn: 0.3221149	total: 2.68s	remaining: 1m 7s
38:	learn: 0.3219438	total: 2.74s	remaining: 1m 7s
39:	learn: 0.3217319	total: 2.81s	remaining: 1m 7s
40:	learn: 0.3215390	total: 2.86s	remaining: 1m 7s
41:	learn: 0.3213980	total: 2.92s	remaining: 1m 6s
42:	learn: 0.3212509	total: 2.99s	remaining: 1m 6s
43:	learn: 0.3211342	total: 3.06s	remaining: 1m 6s
44:	learn: 0.3210056	total: 3.12s	remaining: 1m 6s
45:	learn: 0.3208983	total: 3.18s	remaining: 1m 5s
46:	learn: 0.3207673	total: 3.24s	remaining: 1m 5s
47:	learn: 0.3206566	total: 3.3s	remaining: 1m 5s
48:	learn: 0.3205547	total: 3.36s	remaining: 1m 5s
49:	learn: 0.3204349	total: 3.43s	remaining: 1m 5s
50:	learn: 0.3203477	total: 3.49s	remaining: 1m 5s
51:	learn: 0.3202976	total: 3.55s	remaining: 1m 4s
52:	learn: 0.3201824	total: 3.62s	remaining: 1m 4s
53:	learn: 0.3200938	total: 3.68s	remaining: 1m 4s
54:	learn: 0.3199895	total: 3.74s	remaining: 1m 4s
55:	learn: 0.3199327	total: 3.8s	remaining: 1m 4s
56:	learn: 0.3198470	total: 3.86s	remaining: 1m 3s
57:	learn: 0.3197352	total: 3.92s	remaining: 1m 3s
58:	learn: 0.3197170	total: 3.96s	remaining: 1m 3s
59:	learn: 0.3196451	total: 4.03s	remaining: 1m 3s
60:	learn: 0.3195664	total: 4.1s	remaining: 1m 3s
61:	learn: 0.3194413	total: 4.16s	remaining: 1m 2s
62:	learn: 0.3193234	total: 4.23s	remaining: 1m 2s
63:	learn: 0.3192640	total: 4.3s	remaining: 1m 2s
64:	learn: 0.3191919	total: 4.37s	remaining: 1m 2s
65:	learn: 0.3191232	total: 4.43s	remaining: 1m 2s
66:	learn: 0.3191090	total: 4.5s	remaining: 1m 2s
67:	learn: 0.3190490	total: 4.56s	remaining: 1m 2s
68:	learn: 0.3189938	total: 4.62s	remaining: 1m 2s
69:	learn: 0.3189259	total: 4.69s	remaining: 1m 2s
70:	learn: 0.3188596	total: 4.77s	remaining: 1m 2s
71:	learn: 0.3187925	total: 4.83s	remaining: 1m 2s
72:	learn: 0.3187366	total: 4.9s	remaining: 1m 2s
73:	learn: 0.3186991	total: 4.97s	remaining: 1m 2s
74:	learn: 0.3186481	total: 5.03s	remaining: 1m 2s
75:	learn: 0.3186143	total: 5.1s	remaining: 1m 2s
