iter	Logloss
0	0.6458551529
1	0.6088350088
2	0.5832613089
3	0.5599996543
4	0.5405065743
5	0.5292520867
6	0.515974126
7	0.5039226501
8	0.4929150798
9	0.4851453585
10	0.4767805665
11	0.4699696157
12	0.4651455896
13	0.4595283287
14	0.4554089291
15	0.4508683531
16	0.4477789586
17	0.4452851498
18	0.4404256033
19	0.4359533191
20	0.4311899347
21	0.4293096358
22	0.4260651031
23	0.4234186153
24	0.4211648765
25	0.4196084272
26	0.4178669486
27	0.4163501409
28	0.4152378556
29	0.4138011831
30	0.4118075119
31	0.4100573388
32	0.4075771578
33	0.4060491588
34	0.4046249158
35	0.4034584643
36	0.4012265997
37	0.4004021673
38	0.3994690317
39	0.3976107665
40	0.3963040765
41	0.3952345138
42	0.3942735393
43	0.394008818
44	0.3932542443
45	0.3922468957
46	0.3916076323
47	0.3907401728
48	0.3896468545
49	0.3888515718
50	0.3884098566
51	0.3875306332
52	0.3873861734
53	0.3867265189
54	0.3862528522
55	0.3847400473
56	0.3844050928
57	0.3839564711
58	0.3834527892
59	0.3818920762
60	0.381197158
61	0.3810237611
62	0.3809386721
63	0.3802670211
64	0.3793225775
65	0.37836396
66	0.3779639554
67	0.3775278253
68	0.3766338794
69	0.3760835931
70	0.3750516393
71	0.3747665044
72	0.3742401125
73	0.3739945159
74	0.373417036
75	0.3733353073
76	0.3730171902
77	0.3725623859
78	0.3719594255
79	0.3715413211
80	0.3709884102
81	0.3703649377
82	0.3697597445
83	0.3694876755
84	0.3688897834
85	0.3685790016
86	0.3682377571
87	0.367820777
88	0.3676276061
89	0.3674233977
90	0.3667162879
91	0.366541279
92	0.3660928634
93	0.3654473791
94	0.3648527048
95	0.3642686047
96	0.3638960472
97	0.3632122927
98	0.362851771
99	0.3622930652
100	0.3618921725
101	0.3613798276
102	0.3608205148
103	0.3601166134
104	0.3594955437
105	0.3590912304
106	0.3589514428
107	0.3582130311
108	0.3577347734
109	0.3576327383
110	0.3570340878
111	0.3565870175
112	0.3560692391
113	0.3550588817
114	0.3544653266
115	0.3536671838
116	0.3530461142
117	0.3528820094
118	0.3525920937
119	0.3520000121
120	0.3516108501
121	0.3512640293
122	0.351103857
123	0.3505088617
124	0.3502571774
125	0.3496138556
126	0.3491630716
127	0.3487476248
128	0.3486985847
129	0.3483040871
130	0.3477635363
131	0.3469139644
132	0.3464817971
133	0.3453925717
134	0.3451340175
135	0.3448473772
136	0.3448148301
137	0.3445060135
138	0.3444855517
139	0.3437436395
140	0.3433906515
141	0.3425381995
142	0.3425060519
143	0.3423138114
144	0.3418818577
145	0.3418468949
146	0.3415975366
147	0.3409731422
148	0.3406799622
149	0.3405620047
150	0.3403831224
151	0.3400400678
152	0.3397635915
153	0.3392096174
154	0.3387741438
155	0.3381530024
156	0.3377913788
157	0.3371295865
158	0.3366556733
159	0.3361994909
160	0.3361486112
161	0.3358955508
162	0.3355119693
163	0.3350609468
164	0.3346942136
165	0.3346096485
166	0.3342041942
167	0.3338356191
168	0.3329540855
169	0.3325666088
170	0.3322916916
171	0.3321363932
172	0.3320601451
173	0.332049333
174	0.3317081379
175	0.3314963573
176	0.3310313522
177	0.3306331973
178	0.3299698825
179	0.3294150496
180	0.3288882965
181	0.3286911474
182	0.328325307
183	0.3281342483
184	0.3278286864
185	0.3275202208
186	0.3268919356
187	0.3263464654
188	0.3262594001
189	0.325808364
190	0.3252203704
191	0.3251149962
192	0.3248029172
193	0.324538196
194	0.3245361557
195	0.3244855999
196	0.3243394265
197	0.3239501636
198	0.3238856734
199	0.3236114656
200	0.3231316762
201	0.3227821969
202	0.3227763593
203	0.3223497319
204	0.3221703466
205	0.3218764302
206	0.3217124305
207	0.3212234742
208	0.3210118234
209	0.3204645032
210	0.3202203342
211	0.3199810942
212	0.3196801699
213	0.3194236303
214	0.3194019594
215	0.3191169608
216	0.3187306465
217	0.3186134386
218	0.3182885997
219	0.3178908583
220	0.3175976024
221	0.3173514678
222	0.3171308488
223	0.316913844
224	0.3168616842
225	0.3165429572
226	0.316454524
227	0.3164508675
228	0.3162433438
229	0.3157521141
230	0.3157401092
231	0.3155662368
232	0.3154700491
233	0.3153258744
234	0.3150916038
235	0.3150022744
236	0.3147769023
237	0.3144136209
238	0.3140867005
239	0.313840673
240	0.3137767338
241	0.313681677
242	0.3135701873
243	0.3132276227
244	0.3128632461
245	0.3124524766
246	0.3123307214
247	0.3122033079
