iter	Passed	Remaining
0	191	191737
1	231	115400
2	253	84405
3	283	70566
4	308	61398
5	336	55682
6	361	51216
7	390	48380
8	423	46623
9	461	45720
10	505	45417
11	531	43769
12	562	42710
13	595	41917
14	622	40845
15	672	41333
16	706	40863
17	733	40040
18	763	39443
19	785	38475
20	807	37642
21	837	37209
22	859	36515
23	884	35969
24	906	35340
25	930	34872
26	954	34394
27	978	33967
28	1007	33734
29	1031	33355
30	1057	33064
31	1082	32739
32	1110	32533
33	1132	32187
34	1160	32001
35	1185	31747
36	1213	31586
37	1239	31386
38	1267	31231
39	1293	31043
40	1316	30784
41	1342	30617
42	1365	30391
43	1376	29909
44	1403	29784
45	1426	29575
46	1457	29543
47	1482	29409
48	1510	29310
49	1534	29157
50	1562	29067
51	1585	28898
52	1611	28793
53	1633	28618
54	1661	28541
55	1685	28407
56	1710	28295
57	1737	28224
58	1764	28139
59	1788	28026
60	1814	27936
61	1844	27904
62	1853	27563
63	1876	27442
64	1903	27383
65	1926	27265
66	1954	27218
67	1976	27096
68	2002	27025
69	2025	26915
70	2052	26861
71	2066	26640
72	2090	26547
73	2120	26532
74	2145	26466
75	2156	26215
76	2178	26114
77	2200	26005
78	2227	25964
79	2251	25895
80	2278	25856
81	2301	25767
82	2325	25689
83	2351	25645
84	2374	25557
85	2402	25529
86	2425	25458
87	2455	25444
88	2476	25348
89	2502	25301
90	2527	25249
91	2552	25195
92	2577	25135
93	2599	25053
94	2628	25036
95	2651	24969
96	2694	25083
97	2730	25134
98	2762	25138
99	2797	25178
100	2823	25129
101	2863	25209
102	2891	25178
103	2916	25127
104	2944	25094
105	2967	25028
106	2990	24956
107	3018	24934
108	3042	24873
109	3069	24837
110	3096	24801
111	3123	24767
112	3147	24708
113	3185	24759
114	3208	24694
115	3235	24659
116	3260	24609
117	3289	24587
118	3314	24537
119	3344	24524
120	3369	24478
121	3398	24461
122	3423	24406
123	3450	24379
124	3475	24325
125	3500	24279
126	3524	24228
127	3551	24191
128	3575	24142
129	3601	24104
130	3624	24040
131	3647	23983
132	3676	23966
133	3699	23911
134	3728	23887
135	3750	23829
136	3778	23799
137	3803	23756
138	3832	23736
139	3855	23683
140	3883	23656
141	3907	23608
142	3937	23599
143	3966	23577
144	3997	23571
145	4028	23564
146	4061	23568
147	4090	23547
148	4118	23523
149	4145	23493
150	4176	23481
151	4205	23462
152	4239	23467
153	4263	23423
154	4291	23396
155	4314	23344
156	4343	23322
157	4367	23274
158	4397	23257
159	4422	23218
160	4454	23213
161	4484	23198
162	4514	23179
163	4538	23135
164	4568	23119
165	4591	23069
166	4617	23032
167	4640	22980
168	4669	22958
169	4693	22914
170	4721	22888
171	4742	22830
172	4767	22789
173	4797	22772
174	4823	22738
175	4850	22707
176	4886	22722
177	4914	22693
178	4950	22706
179	4994	22751
180	5035	22786
181	5066	22769
182	5100	22770
183	5146	22825
184	5182	22830
185	5203	22773
186	5231	22746
187	5256	22703
188	5284	22677
189	5309	22637
190	5338	22613
191	5364	22574
192	5394	22554
193	5417	22506
194	5447	22489
195	5468	22430
196	5492	22388
197	5519	22356
198	5544	22315
199	5573	22294
200	5598	22253
201	5631	22247
202	5655	22203
203	5682	22171
204	5706	22130
205	5735	22105
206	5760	22068
207	5801	22089
208	5827	22056
209	5853	22021
210	5879	21984
211	5906	21953
212	5928	21906
213	5954	21870
214	5975	21818
215	6004	21794
216	6027	21749
217	6054	21719
218	6094	21732
219	6125	21716
220	6153	21688
221	6181	21663
222	6206	21625
223	6233	21594
224	6253	21540
225	6280	21510
226	6305	21471
227	6333	21446
228	6360	21414
229	6388	21389
230	6412	21346
231	6432	21294
232	6460	21267
233	6483	21223
234	6511	21195
235	6535	21157
236	6562	21126
237	6585	21085
238	6613	21057
239	6639	21023
240	6665	20991
241	6688	20950
242	6715	20918
243	6741	20886
244	6763	20843
245	6787	20805
246	6813	20770
247	6844	20753
248	6869	20718
249	6896	20689
250	6922	20656
251	6950	20632
252	6974	20592
253	7003	20569
254	7027	20530
255	7049	20487
256	7074	20453
257	7098	20415
258	7126	20389
259	7152	20357
260	7179	20328
261	7218	20332
262	7255	20331
263	7290	20324
264	7316	20292
265	7359	20308
266	7386	20277
267	7411	20243
268	7437	20210
269	7462	20176
270	7492	20153
271	7519	20125
272	7543	20089
273	7571	20061
274	7598	20031
275	7624	20000
276	7648	19962
277	7678	19942
278	7703	19908
279	7728	19873
280	7752	19837
281	7779	19806
282	7804	19773
283	7833	19749
284	7856	19709
285	7884	19683
286	7906	19641
287	7931	19609
288	8001	19685
289	8033	19668
290	8066	19653
291	8093	19624
292	8121	19598
293	8146	19562
294	8178	19544
295	8204	19514
296	8234	19490
297	8266	19473
298	8295	19447
299	8321	19416
300	8345	19379
301	8364	19333
302	8389	19299
303	8413	19262
304	8443	19239
305	8474	19219
306	8505	19199
307	8529	19163
308	8556	19134
309	8583	19106
310	8634	19128
311	8663	19104
312	8694	19083
313	8726	19065
314	8754	19037
315	8783	19012
316	8817	18997
317	8852	18984
318	8880	18957
319	8906	18927
320	8931	18893
321	8959	18864
322	8982	18828
323	9012	18804
324	9044	18783
325	9085	18783
326	9119	18769
327	9144	18734
328	9172	18706
329	9197	18673
330	9223	18642
331	9254	18620
332	9286	18600
333	9310	18565
334	9338	18538
335	9363	18503
336	9389	18472
337	9419	18449
338	9462	18450
339	9499	18439
340	9532	18421
341	9561	18396
342	9606	18399
343	9631	18367
344	9655	18330
345	9682	18301
346	9706	18265
347	9738	18245
348	9772	18228
349	9813	18224
350	9851	18215
351	9873	18175
352	9900	18145
353	9921	18105
354	9946	18072
355	9975	18044
356	10014	18036
357	10050	18024
358	10085	18007
359	10114	17980
360	10151	17968
361	10183	17947
362	10215	17925
363	10255	17919
364	10290	17903
365	10323	17882
366	10356	17862
367	10391	17846
368	10440	17853
369	10484	17852
370	10532	17856
371	10573	17849
372	10610	17836
373	10648	17823
374	10677	17795
375	10707	17770
376	10742	17751
377	10774	17729
378	10806	17707
379	10847	17699
380	10894	17699
381	10942	17702
382	10988	17701
383	11033	17699
384	11081	17700
385	11114	17678
386	11148	17658
387	11180	17635
388	11218	17620
389	11277	17639
390	11320	17631
391	11351	17606
392	11391	17595
393	11434	17586
394	11466	17562
395	11504	17546
396	11544	17534
397	11577	17511
398	11619	17502
399	11666	17500
400	11711	17494
401	11760	17494
402	11817	17506
403	11863	17500
404	11911	17499
405	11966	17507
406	12006	17492
407	12038	17467
408	12076	17450
409	12112	17429
410	12144	17404
411	12188	17395
412	12220	17369
413	12258	17351
414	12290	17325
415	12317	17292
416	12345	17259
417	12367	17220
418	12397	17190
419	12420	17152
420	12456	17131
421	12490	17107
422	12521	17079
423	12556	17058
424	12590	17034
425	12630	17018
426	12663	16993
427	12699	16971
428	12735	16950
429	12769	16926
430	12803	16902
431	12840	16883
432	12877	16863
433	12916	16845
434	12954	16825
435	12987	16800
436	13022	16777
437	13053	16748
438	13085	16722
439	13118	16696
440	13152	16672
441	13199	16663
442	13229	16633
443	13260	16605
444	13291	16577
445	13319	16545
446	13356	16523
447	13386	16494
448	13415	16463
449	13448	16436
450	13478	16406
451	13513	16383
452	13545	16356
453	13579	16330
454	13608	16299
455	13642	16275
456	13673	16247
457	13699	16211
458	13721	16173
459	13747	16138
460	13770	16100
461	13803	16073
462	13832	16043
463	13861	16012
464	13891	15982
465	13927	15959
466	13974	15949
467	14025	15943
468	14071	15931
469	14107	15908
470	14157	15900
471	14210	15896
472	14246	15872
473	14282	15849
474	14318	15826
475	14355	15802
476	14394	15782
477	14437	15766
478	14483	15753
479	14540	15752
480	14593	15745
481	14623	15715
482	14661	15693
483	14704	15677
484	14744	15656
485	14779	15631
486	14810	15601
487	14840	15570
488	14871	15540
489	14902	15510
490	14937	15484
491	14969	15455
492	15011	15437
493	15045	15410
494	15072	15377
495	15104	15348
496	15135	15318
497	15171	15293
498	15211	15272
499	15241	15241
500	15272	15211
501	15301	15179
502	15333	15150
503	15364	15120
504	15395	15090
505	15439	15073
506	15474	15047
507	15508	15019
508	15541	14992
509	15574	14963
510	15608	14936
511	15639	14906
512	15671	14877
513	15700	14845
514	15734	14817
515	15762	14785
516	15796	14757
517	15833	14733
518	15902	14738
519	15936	14710
520	15966	14679
521	16000	14652
522	16026	14616
523	16054	14584
524	16089	14557
525	16126	14531
526	16156	14500
527	16187	14470
528	16217	14439
529	16249	14409
530	16282	14381
531	16319	14356
532	16355	14330
533	16391	14304
534	16424	14275
535	16468	14256
536	16499	14226
537	16531	14196
538	16572	14174
539	16604	14144
540	16639	14117
541	16697	14109
542	16726	14077
543	16759	14048
544	16794	14020
545	16827	13991
546	16859	13962
547	16896	13936
548	16931	13908
549	16965	13880
550	16993	13847
551	17026	13818
552	17062	13792
553	17089	13757
554	17117	13724
555	17141	13688
556	17170	13656
557	17202	13626
558	17235	13597
559	17263	13564
560	17297	13535
561	17324	13501
562	17353	13469
563	17378	13434
564	17408	13402
565	17434	13368
566	17463	13336
567	17486	13299
568	17519	13270
569	17547	13237
570	17593	13217
571	17625	13188
572	17670	13168
573	17702	13137
574	17735	13108
575	17767	13078
576	17811	13057
577	17845	13029
578	17877	12999
579	17911	12970
580	17945	12941
581	17982	12914
582	18010	12882
583	18037	12848
584	18067	12817
585	18097	12785
586	18128	12754
587	18154	12720
588	18185	12689
589	18211	12655
590	18241	12624
591	18271	12592
592	18299	12559
593	18326	12525
594	18361	12497
595	18391	12466
596	18435	12444
597	18469	12416
598	18504	12387
599	18555	12370
600	18599	12347
601	18650	12330
602	18685	12302
603	18719	12273
604	18746	12239
605	18776	12207
606	18807	12176
607	18840	12146
608	18875	12118
609	18905	12087
610	18935	12055
611	18965	12023
612	18995	11992
613	19025	11960
614	19054	11928
615	19084	11897
616	19114	11865
617	19147	11835
618	19191	11812
619	19221	11781
620	19256	11752
621	19286	11720
622	19319	11690
623	19359	11665
624	19389	11633
625	19419	11602
626	19447	11569
627	19477	11537
628	19505	11504
629	19537	11474
630	19566	11442
631	19598	11411
632	19637	11385
633	19667	11353
634	19704	11326
635	19730	11292
636	19751	11255
637	19775	11220
638	19814	11193
639	19867	11175
640	19918	11155
641	19953	11126
642	20004	11106
643	20049	11083
644	20094	11059
645	20149	11041
646	20217	11030
647	20266	11008
648	20315	10987
649	20359	10962
650	20408	10940
651	20454	10917
652	20517	10902
653	20562	10878
654	20609	10855
655	20653	10830
656	20696	10805
657	20758	10789
658	20809	10767
659	20869	10750
660	20937	10738
661	20980	10712
662	21034	10691
663	21075	10664
664	21115	10636
665	21150	10606
666	21202	10585
667	21249	10561
668	21287	10532
669	21324	10503
670	21363	10474
671	21399	10444
672	21434	10414
673	21476	10387
674	21511	10357
675	21548	10327
676	21588	10299
677	21627	10271
678	21666	10242
679	21705	10214
680	21742	10184
681	21782	10156
682	21818	10126
683	21857	10097
684	21894	10068
685	21930	10038
686	21971	10010
687	22006	9979
688	22042	9949
689	22080	9920
690	22118	9890
691	22156	9861
692	22194	9832
693	22236	9804
694	22277	9776
695	22314	9746
696	22351	9716
697	22392	9688
698	22426	9657
699	22465	9627
700	22504	9598
701	22541	9568
702	22586	9542
703	22625	9513
704	22662	9482
