id,fake,real
TEST_00000,1.0575213122733518e-14,1.0
TEST_00001,2.1335906132124993e-12,1.0
TEST_00002,2.2367738798580606e-15,1.0
TEST_00003,1.2740457577820052e-06,0.9999986886978149
TEST_00004,1.565562541827603e-07,0.9999998807907104
TEST_00005,2.080559899711454e-12,1.0
TEST_00006,1.5039336349123e-24,1.0
TEST_00007,3.662453732199551e-16,1.0
TEST_00008,8.597633227888479e-27,1.0
TEST_00009,1.5636713257549673e-08,1.0
TEST_00010,1.3306068069596222e-07,0.9999998807907104
TEST_00011,1.4491256285220633e-11,1.0
TEST_00012,2.9790307573611353e-16,1.0
TEST_00013,1.0862408980456349e-20,1.0
TEST_00014,8.42778172227554e-05,0.9999157190322876
TEST_00015,2.1427881514924696e-30,1.0
TEST_00016,1.3463189531253086e-31,1.0
TEST_00017,0.0048352391459047794,0.9951647520065308
TEST_00018,4.4204213470297966e-18,1.0
TEST_00019,3.3373694918736874e-07,0.9999996423721313
TEST_00020,1.0800889522660991e-19,1.0
TEST_00021,1.777829789686722e-23,1.0
TEST_00022,0.00030666030943393707,0.9996933937072754
TEST_00023,6.047751188731354e-11,1.0
TEST_00024,3.1794997133077085e-21,1.0
TEST_00025,0.9897654056549072,0.01023462787270546
TEST_00026,1.5118431292648893e-05,0.999984860420227
TEST_00027,2.4197992022058347e-33,1.0
TEST_00028,0.04034370556473732,0.959656298160553
TEST_00029,1.534706512984485e-07,0.9999998807907104
TEST_00030,1.5348691756836584e-35,1.0
TEST_00031,9.320980944547974e-14,1.0
TEST_00032,4.245934346904196e-43,1.0
TEST_00033,4.4316630244621934e-27,1.0
TEST_00034,5.5870415173638055e-14,1.0
TEST_00035,3.4624926623788577e-12,1.0
TEST_00036,1.1939236777860824e-32,1.0
TEST_00037,4.467106806860246e-25,1.0
TEST_00038,8.350174043944163e-18,1.0
TEST_00039,7.436513427619418e-13,1.0
TEST_00040,6.218088461417725e-35,1.0
TEST_00041,1.1576361397258594e-10,1.0
TEST_00042,2.3500849053072207e-20,1.0
TEST_00043,4.098372019123117e-25,1.0
TEST_00044,1.480059477754203e-11,1.0
TEST_00045,4.438040646786989e-12,1.0
TEST_00046,3.5699209837173826e-14,1.0
TEST_00047,3.373444812382331e-08,1.0
TEST_00048,9.78051563857043e-29,1.0
TEST_00049,1.6182825138335913e-22,1.0
TEST_00050,9.20473774275682e-16,1.0
TEST_00051,0.00014798174379393458,0.9998519420623779
TEST_00052,7.328776474579968e-10,1.0
TEST_00053,1.9692526720405112e-08,1.0
TEST_00054,1.2784113525511122e-20,1.0
TEST_00055,4.264165909262374e-07,0.9999995231628418
TEST_00056,3.9181670603329055e-14,1.0
TEST_00057,1.020877393037578e-11,1.0
TEST_00058,0.7517278790473938,0.2482721507549286
TEST_00059,3.823129812730031e-09,1.0
