id,fake,real
TEST_00000,0.80321026,0.5836144
TEST_00001,0.7828184,0.5488171
TEST_00002,0.86060077,0.57582295
TEST_00003,0.6697529,0.14904214
TEST_00004,0.83053064,0.3161834
TEST_00005,0.51879233,0.6414361
TEST_00006,0.62853867,0.4114696
TEST_00007,0.48848146,0.44132134
TEST_00008,0.79288816,0.21441369
TEST_00009,0.81066585,0.38777304
TEST_00010,0.7444238,0.5941038
TEST_00011,0.8565383,0.5625862
TEST_00012,0.8071572,0.41248024
TEST_00013,0.76072407,0.42542598
TEST_00014,0.6232558,0.7037399
TEST_00015,0.258502,0.47473097
TEST_00016,0.42258322,0.21949226
TEST_00017,0.751537,0.58919233
TEST_00018,0.5201376,0.89821136
TEST_00019,0.8093623,0.6394008
TEST_00020,0.71613014,0.39871156
TEST_00021,0.63164145,0.62235767
TEST_00022,0.61757505,0.67126435
TEST_00023,0.76981366,0.602831
TEST_00024,0.8675059,0.29670137
TEST_00025,0.672816,0.702397
TEST_00026,0.84814894,0.21705441
TEST_00027,0.8410599,0.09422343
TEST_00028,0.61452204,0.745594
TEST_00029,0.81724787,0.6635206
TEST_00030,0.67868763,0.27237418
TEST_00031,0.76614666,0.36410326
TEST_00032,0.65632355,0.476024
TEST_00033,0.7211081,0.29534146
TEST_00034,0.51619494,0.41634446
TEST_00035,0.7150577,0.56354374
TEST_00036,0.4977046,0.6502481
TEST_00037,0.7786491,0.22217709
TEST_00038,0.8876115,0.2745632
TEST_00039,0.7977098,0.425496
TEST_00040,0.6544675,0.09627035
TEST_00041,0.41311577,0.5777242
TEST_00042,0.8925199,0.1883858
TEST_00043,0.6624538,0.5266929
TEST_00044,0.68826544,0.5347748
TEST_00045,0.7951328,0.7277142
TEST_00046,0.87849164,0.43738005
TEST_00047,0.7122745,0.547291
TEST_00048,0.8105507,0.34691378
TEST_00049,0.4415421,0.8894626
TEST_00050,0.8234248,0.37891397
TEST_00051,0.81974727,0.57549286
TEST_00052,0.836837,0.37241527
TEST_00053,0.75731045,0.46725392
TEST_00054,0.56652755,0.6703403
TEST_00055,0.34286937,0.556356
TEST_00056,0.87277347,0.095747635
TEST_00057,0.49647897,0.8389883
TEST_00058,0.7670242,0.52071625
TEST_00059,0.73728234,0.31667876
TEST_00060,0.7245282,0.71982414
TEST_00061,0.62146664,0.46387336
TEST_00062,0.81550837,0.53955704
TEST_00063,0.7954919,0.52790207
TEST_00064,0.7461727,0.33790484
TEST_00065,0.6090756,0.3983085
TEST_00066,0.76874024,0.29910728
TEST_00067,0.80313456,0.7295707
TEST_00068,0.7966126,0.6905686
TEST_00069,0.7454509,0.46860495
TEST_00070,0.81719995,0.47436997
TEST_00071,0.5686685,0.69510597
TEST_00072,0.7428251,0.2951598
TEST_00073,0.5097612,0.8513348
TEST_00074,0.79823303,0.5665153
TEST_00075,0.7648814,0.44022492
TEST_00076,0.8623601,0.44722986
TEST_00077,0.8961913,0.36530277
TEST_00078,0.6834238,0.67451024
TEST_00079,0.83429843,0.559978
TEST_00080,0.8024387,0.5108324
TEST_00081,0.8015289,0.5669764
TEST_00082,0.7987871,0.24021411
TEST_00083,0.7404454,0.22486407
TEST_00084,0.8055937,0.58238834
TEST_00085,0.72269595,0.53209627
TEST_00086,0.8494969,0.31514883
TEST_00087,0.76516515,0.65635383
TEST_00088,0.54093593,0.52672476
TEST_00089,0.69994223,0.1408812
TEST_00090,0.815705,0.71735233
TEST_00091,0.73111963,0.40094215
TEST_00092,0.8395817,0.48649144
TEST_00093,0.76133186,0.11226082
TEST_00094,0.87325346,0.36596343
TEST_00095,0.79601264,0.5445476
TEST_00096,0.6366145,0.3590104
TEST_00097,0.61953974,0.7268544
TEST_00098,0.818271,0.66492885
TEST_00099,0.81530833,0.41216323
TEST_00100,0.81952125,0.66708726
TEST_00101,0.6620454,0.3974288
