ID,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25
0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
30,1,0,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,2,2,1,2
40,15,12,19,15,21,17,18,16,21,22,19,20,22,24,28,27,23,24,29,24,28
50,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,17,15,16,15,15,15,15,15,14,15,14,14,14,15,14,14,13,13,14,13,13
120,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
140,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2
150,1,3,3,4,3,5,3,3,3,3,3,4,5,5,5,6,4,6,7,5,4
160,4,7,7,8,6,10,7,7,6,8,7,9,10,10,10,11,9,12,12,9,8
170,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
180,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
